department,low,total,low_pct,,,,department,power ,total,power_pct
alcohol,6909,42064,0.164249715,,,,babies,27089,29541,0.91699672
beverages,53600,384986,0.139225842,,,,international,26434,28843,0.91647887
household,19108,143647,0.133020529,,,,dry goods pasta,71360,77879,0.91629322
snacks,36050,307193,0.117352934,,,,pets,18988,20890,0.90895165
personal care,10787,92485,0.11663513,,,,bulk,3489,3840,0.90859375
other,1057,9141,0.115632863,,,,bakery,132143,145453,0.90849278
pantry,21873,195415,0.111931019,,,,deli,97679,107846,0.90572668
meat seafood,7643,71683,0.106622212,,,,breakfast,91500,101316,0.90311501
dairy eggs,42908,407603,0.105269098,,,,canned goods,74174,82354,0.90067271
frozen,23425,222605,0.105231239,,,,missing,9096,10117,0.89908076
missing,1021,10117,0.100919245,,,,frozen,199180,222605,0.89476876
canned goods,8180,82354,0.099327294,,,,dairy eggs,364695,407603,0.8947309
breakfast,9816,101316,0.096884993,,,,meat seafood,64040,71683,0.89337779
deli,10167,107846,0.094273316,,,,pantry,173542,195415,0.88806898
bakery,13310,145453,0.091507222,,,,other,8084,9141,0.88436714
bulk,351,3840,0.09140625,,,,personal care,81698,92485,0.88336487
pets,1902,20890,0.091048348,,,,snacks,271143,307193,0.88264707
dry goods pasta,6519,77879,0.083706776,,,,household,124539,143647,0.86697947
international,2409,28843,0.083521132,,,,beverages,331386,384986,0.86077416
babies,2452,29541,0.083003284,,,,alcohol,35155,42064,0.83575029
