product_id,total_orders,total_reorders,department_id
24852,472565,398609,4
13176,379450,315913,4
21137,264683,205845,4
21903,241921,186884,4
47209,213584,170131,4
47766,176815,134044,4
47626,152657,106255,4
16797,142951,99802,4
26209,140627,95768,4
27845,137905,114510,16
27966,137057,105409,4
22935,113426,79072,4
24964,109778,74663,4
45007,104823,72165,4
39275,100060,62922,4
49683,97315,67313,4
28204,89632,63811,4
5876,87746,60536,4
8277,85020,62510,4
40706,84255,55230,4
4920,82689,55177,4
30391,80392,56051,4
45066,79769,57818,4
42265,76896,50472,4
49235,76360,59672,16
44632,75886,58513,7
19057,75165,57201,4
4605,73167,43269,4
37646,72846,53406,4
21616,72829,49798,4
17794,72736,46572,4
27104,71584,45969,4
30489,71314,51690,20
31717,69524,43103,4
27086,69217,52728,16
44359,68091,42971,4
28985,67449,46841,4
46979,67283,41585,4
8518,66986,41329,4
41950,64289,42261,4
26604,61746,40295,4
5077,60816,44834,3
34126,60621,37141,4
22035,59676,45639,16
39877,58779,41566,4
35951,57895,43875,16
43352,57640,39507,4
10749,57485,37968,4
19660,56087,45558,7
9076,55946,32592,1
21938,55484,33857,4
43961,55371,34916,4
24184,55280,35013,4
34969,54409,34812,4
46667,52087,29848,4
48679,51939,34408,4
25890,50281,33286,12
31506,50255,23954,13
12341,50221,37365,4
39928,50141,35765,4
24838,49569,37343,16
5450,49021,32924,4
22825,48915,33780,4
5785,47839,38544,16
35221,46546,34538,7
28842,45530,25877,4
33731,45238,27635,16
27521,43067,29936,4
44142,43009,23609,4
33198,42934,31500,7
8174,42721,27332,4
20114,42561,24741,4
8424,42044,27540,4
27344,41473,27372,20
11520,40376,31321,16
29487,40212,25642,4
18465,40045,28650,16
28199,39825,24016,4
15290,39188,23593,4
46906,38971,25968,4
9839,38720,27654,4
27156,38001,22352,15
3957,37973,29939,7
43122,37706,26692,4
23909,37091,28788,16
34358,36617,21510,4
4799,36365,23371,16
9387,36187,23537,4
16759,35820,20763,4
196,35791,27791,7
42736,35667,19830,16
38689,35663,30338,16
4210,35633,27749,16
41787,35413,23015,4
41220,34874,21548,4
47144,34583,24690,16
7781,34209,25033,16
33000,33908,22282,16
20995,32887,21429,1
21709,32788,24403,7
19678,32534,19933,4
40604,32351,18069,16
30233,32105,24927,16
34243,31792,20640,4
37687,31768,21272,4
24489,31445,19730,1
42828,31192,21525,16
5479,30937,25173,7
432,30935,22542,16
6184,30843,23430,4
16185,30170,18541,16
42768,30055,16742,15
17948,29905,18577,1
33754,29893,22419,16
19348,29345,22559,16
8193,29313,16507,4
26369,29296,18790,4
42585,29124,19327,20
14992,29069,16942,4
14947,28884,23463,7
22963,28384,18893,20
1463,27992,22713,16
28849,27924,16205,15
8021,27864,16472,17
25659,27255,14486,16
21405,27226,16738,4
46676,26878,18327,16
31343,26777,15925,16
41844,26741,15340,14
38293,26721,17179,12
42701,26691,14851,16
43789,26668,13668,4
36011,26591,22119,16
5025,26536,13787,4
39475,26443,18679,16
43295,26307,18530,16
11777,26220,16859,4
20842,26154,18071,16
32689,25974,15527,4
32655,25523,19752,16
2295,25459,13777,4
13870,24950,15663,19
46802,24950,14300,1
25146,24918,15803,7
18531,24664,14714,16
5212,24534,18166,4
31553,24130,11685,4
39408,24086,15040,4
260,23900,15181,4
36695,23892,16124,4
10246,23826,12498,4
24830,23642,14582,4
38383,23641,14793,4
43768,23388,13806,4
1940,23244,17968,16
11182,23129,13936,4
18523,23034,16807,16
18362,23006,16468,3
21288,22864,14325,4
6046,22590,14998,12
44683,22275,11981,4
29987,21999,11362,16
890,21997,10468,15
38777,21745,13481,4
43772,21552,14224,4
23734,21540,11458,16
7948,21509,12117,16
30450,21490,12178,13
38456,21451,12023,4
46969,21431,14607,4
44910,21416,12882,4
47734,21352,11074,4
38159,21301,12789,4
26620,21233,14407,7
47672,20775,12819,12
4957,20758,15593,16
26165,20735,15964,7
30776,20707,15880,7
44987,20684,10456,16
35939,20262,11462,4
14678,20228,11394,1
16349,20217,11441,4
28289,20211,12500,4
29447,20198,17256,16
44422,20140,10881,14
40310,20069,12792,20
16953,20033,10503,13
23375,19998,12521,9
33787,19908,15021,16
19048,19847,9276,4
2078,19846,13153,16
13984,19745,10797,4
41290,19692,13173,7
23165,19671,10227,4
32864,19639,11598,4
17600,19611,13693,16
39812,19544,8102,4
8859,19518,14802,7
48364,19501,10338,4
33120,19400,13744,16
31683,19345,11884,7
26940,19286,10596,4
28465,19257,14300,16
35108,19163,11576,16
26283,18906,11025,4
37158,18602,12793,1
37067,18583,11172,4
18370,18449,11140,16
45,18413,12069,4
41665,18367,11789,16
35547,18358,11715,4
3952,18341,12208,4
10957,18269,13067,7
2086,18231,10924,17
2966,18183,11762,7
43154,18161,14163,7
24799,18142,12499,16
40571,18044,13510,16
43713,18040,10245,13
10132,18040,12664,16
40396,17960,11860,20
18027,17789,11189,3
45535,17716,8477,15
1158,17699,9939,1
25931,17672,12651,4
7021,17629,7370,15
38739,17565,10490,4
13629,17423,11899,4
42450,17420,12163,1
20119,17411,12267,7
15937,17401,8659,4
42342,17332,10343,20
32478,17320,13246,16
48745,17257,9275,4
45633,17140,10357,12
21019,17038,9378,20
34050,16987,12440,7
34448,16850,11164,19
48205,16829,9176,4
39619,16824,8892,9
17461,16816,11333,12
45603,16791,13135,7
30169,16636,11539,16
31040,16626,9716,19
38400,16535,9077,4
13646,16439,11948,20
36865,16377,12227,16
40174,16356,12444,16
21267,16318,11265,3
17872,16246,9767,16
5818,16155,8891,4
26790,16129,11593,15
39984,15954,7936,4
14084,15935,12923,16
23288,15871,11473,7
21376,15831,9573,19
32734,15813,8112,9
33768,15774,10724,4
37766,15740,9682,4
46654,15703,9175,16
12206,15638,6877,9
329,15459,12345,16
28934,15458,9440,1
6187,15415,9389,14
6348,15377,10340,16
39993,15367,8630,4
18441,15304,5950,13
5646,15302,9712,12
25340,15301,9348,4
43086,15298,9776,4
6104,15267,11012,16
42356,15253,7508,13
48775,15055,7636,4
651,15035,8988,16
10673,14973,9591,3
47977,14928,10868,7
19508,14905,6681,3
39180,14869,12488,16
40709,14800,9239,19
19677,14712,10927,16
10017,14707,9035,12
27336,14687,7381,4
13535,14678,7231,13
13829,14664,7890,13
42244,14621,10768,16
11782,14618,7895,4
27695,14577,9825,12
36070,14572,8392,4
28156,14549,8142,16
6873,14476,8260,4
49520,14439,10220,7
49383,14433,7643,4
8571,14399,11282,4
24561,14313,9966,1
13249,14289,10998,16
49075,14276,8217,1
16083,14255,10971,16
24024,14231,11565,16
40545,14227,8146,1
40199,14148,8521,19
30720,14120,7260,4
17795,14016,8277,4
25588,13996,7137,4
35921,13881,9746,16
17122,13880,9377,4
11422,13861,10181,16
8670,13852,5979,15
31915,13833,9588,4
35561,13776,8638,19
42445,13732,10328,16
14233,13727,10385,7
7963,13715,9218,1
17706,13692,9271,3
3599,13691,8812,19
21295,13637,6310,4
44449,13597,5974,15
36550,13587,9554,16
30827,13571,9841,4
19019,13571,8426,20
20082,13528,11100,16
35042,13525,6696,15
25466,13494,9759,7
33401,13450,7390,16
1511,13397,10626,16
42625,13378,5865,4
5194,13372,7954,19
8048,13355,10233,4
23537,13354,3680,13
2825,13340,8687,20
16965,13273,7146,1
38928,13238,10958,16
21195,13216,6506,13
19706,13101,7951,4
18288,13086,7978,19
13380,13040,7165,19
15872,13039,7588,4
7751,13039,4188,13
4562,13034,7305,4
9339,12992,8315,12
22395,12906,5835,15
38164,12905,8597,19
46720,12849,5976,15
40723,12834,8367,4
15902,12822,8696,19
35140,12816,7754,19
4472,12749,9206,16
3376,12738,6281,15
13166,12737,10667,16
29662,12709,6040,4
2855,12705,9151,3
28993,12698,6935,4
7175,12648,6955,16
13575,12575,9795,4
13740,12568,7523,19
12916,12536,6534,7
40516,12495,5867,4
45200,12492,6263,4
7503,12474,6905,19
5782,12441,7917,16
19691,12437,7790,4
5134,12430,7519,19
40332,12424,7652,16
12456,12391,7680,12
21174,12361,6852,4
5258,12321,8531,7
10644,12318,5072,13
39561,12315,7488,19
4421,12230,6701,12
33129,12196,6436,20
44765,12191,8863,16
20955,12184,7094,14
46584,12179,8316,16
22124,12153,8797,16
44570,12141,6843,4
3464,12137,6155,4
13198,12123,7556,12
43662,12123,8381,16
10070,12121,9750,16
32691,12117,6010,1
7559,12102,7183,13
37710,12068,9443,19
36735,12056,7317,20
35898,12048,4745,13
37029,11975,7228,16
34262,11945,7826,19
1025,11930,6053,4
18918,11925,6278,1
42719,11908,7329,7
11408,11872,5625,15
18234,11843,6863,4
44560,11798,7995,19
23029,11747,7518,20
45123,11736,7990,3
3896,11705,9396,3
9092,11703,5577,15
28745,11684,8734,20
18811,11666,7691,7
26384,11655,7269,16
35503,11621,8883,16
35628,11610,8989,16
47141,11585,7685,7
28476,11570,8223,16
25138,11552,8508,16
21386,11504,8464,7
47042,11466,5893,4
46820,11455,7944,16
21292,11451,7824,4
